attribute,start,min,max,name
HP,40,190,284,mr-mime
HP,50,210,304,cleffa
Attack,25,49,163,cleffa
Defense,28,54,170,cleffa
Sp. Atk,45,85,207,cleffa
Sp. Def,55,103,229,cleffa
Speed,15,31,141,cleffa
HP,65,240,334,weezing
HP,115,340,434,jigglypuff
Attack,45,85,207,jigglypuff
Defense,20,40,152,jigglypuff
Sp. Atk,45,85,207,jigglypuff
Sp. Def,25,49,163,jigglypuff
Speed,20,40,152,jigglypuff
HP,140,390,484,wigglytuff
Attack,70,130,262,wigglytuff
Defense,45,85,207,wigglytuff
Sp. Atk,85,157,295,wigglytuff
Sp. Def,50,94,218,wigglytuff
Speed,45,85,207,wigglytuff
HP,65,240,334,rapidash
Attack,100,184,328,rapidash
Defense,70,130,262,rapidash
Attack,45,85,207,mr-mime
Defense,65,121,251,mr-mime
Sp. Atk,100,184,328,mr-mime
Sp. Def,120,220,372,mr-mime
Speed,90,166,306,mr-mime
HP,50,210,304,mr-mime
Attack,65,121,251,mr-mime
Defense,65,121,251,mr-mime
Sp. Atk,90,166,306,mr-mime
Sp. Def,90,166,306,mr-mime
Speed,100,184,328,mr-mime
Attack,90,166,306,weezing
Defense,120,220,372,weezing
Sp. Atk,85,157,295,weezing
Sp. Def,70,130,262,weezing
Speed,60,112,240,weezing
HP,65,240,334,weezing
Attack,90,166,306,weezing
Defense,120,220,372,weezing
Sp. Atk,85,157,295,weezing
Sp. Def,70,130,262,weezing
Speed,60,112,240,weezing
Sp. Atk,80,148,284,rapidash
Sp. Def,80,148,284,rapidash
Speed,105,193,339,rapidash
HP,65,240,334,rapidash
Attack,100,184,328,rapidash
Defense,70,130,262,rapidash
Sp. Atk,80,148,284,rapidash
Sp. Def,80,148,284,rapidash
Speed,105,193,339,rapidash
HP,70,250,344,clefairy
Attack,45,85,207,clefairy
Defense,48,90,214,clefairy
Sp. Atk,60,112,240,clefairy
Sp. Def,65,121,251,clefairy
Speed,35,67,185,clefairy
HP,55,220,314,mimikyu
Attack,90,166,306,mimikyu
Defense,80,148,284,mimikyu
Sp. Atk,50,94,218,mimikyu
Sp. Def,105,193,339,mimikyu
Speed,96,177,320,mimikyu
HP,51,212,306,comfey
Attack,52,98,223,comfey
Defense,90,166,306,comfey
Sp. Atk,82,152,289,comfey
Sp. Def,110,202,350,comfey
Speed,100,184,328,comfey
HP,95,300,394,clefable
Attack,70,130,262,clefable
Defense,73,135,269,clefable
Sp. Atk,95,175,317,clefable
Sp. Def,90,166,306,clefable
HP,73,256,350,ninetales
HP,60,230,324,shiinotic
Attack,45,85,207,shiinotic
Defense,80,148,284,shiinotic
Sp. Atk,90,166,306,shiinotic
Sp. Def,100,184,328,shiinotic
Speed,30,58,174,shiinotic
HP,40,190,284,morelull
Attack,35,67,185,morelull
Defense,55,103,229,morelull
Sp. Atk,65,121,251,morelull
Sp. Def,75,139,273,morelull
Speed,15,31,141,morelull
HP,60,230,324,ribombee
Attack,55,103,229,ribombee
Defense,60,112,240,ribombee
Sp. Atk,95,175,317,ribombee
Sp. Def,70,130,262,ribombee
Speed,124,227,381,ribombee
Speed,60,112,240,clefable
Attack,76,141,276,ninetales
Defense,75,139,273,ninetales
Sp. Atk,81,150,287,ninetales
Sp. Def,100,184,328,ninetales
Speed,100,184,328,ninetales
HP,73,256,350,ninetales
Attack,67,125,256,ninetales
Defense,75,139,273,ninetales
Sp. Atk,81,150,287,ninetales
Sp. Def,100,184,328,ninetales
Speed,109,200,348,ninetales
HP,40,190,284,cutiefly
Attack,45,85,207,cutiefly
HP,45,200,294,pawniard
HP,95,300,394,slowbro
HP,90,290,384,slowpoke
Defense,40,76,196,cutiefly
Sp. Atk,55,103,229,cutiefly
Sp. Def,40,76,196,cutiefly
Speed,84,155,293,cutiefly
Attack,85,157,295,pawniard
Defense,70,130,262,pawniard
Sp. Atk,40,76,196,pawniard
Sp. Def,40,76,196,pawniard
Speed,60,112,240,pawniard
Attack,75,139,273,slowbro
Defense,110,202,350,slowbro
Sp. Atk,100,184,328,slowbro
Sp. Def,80,148,284,slowbro
Speed,30,58,174,slowbro
HP,95,300,394,slowbro
Attack,75,139,273,slowbro
Defense,180,328,504,slowbro
Sp. Atk,130,238,394,slowbro
Sp. Def,80,148,284,slowbro
Speed,30,58,174,slowbro
HP,95,300,394,slowbro
Attack,100,184,328,slowbro
Defense,95,175,317,slowbro
Sp. Atk,100,184,328,slowbro
Sp. Def,70,130,262,slowbro
Speed,30,58,174,slowbro
Attack,65,121,251,slowpoke
Defense,65,121,251,slowpoke
Sp. Atk,40,76,196,slowpoke
Sp. Def,40,76,196,slowpoke
Speed,15,31,141,slowpoke
HP,90,290,384,slowpoke
Attack,65,121,251,slowpoke
Defense,65,121,251,slowpoke
Sp. Atk,40,76,196,slowpoke
Sp. Def,40,76,196,slowpoke
Speed,15,31,141,slowpoke
HP,80,270,364,tentacruel
Attack,70,130,262,tentacruel
Defense,65,121,251,tentacruel
Sp. Atk,80,148,284,tentacruel
Sp. Def,120,220,372,tentacruel
Speed,100,184,328,tentacruel
HP,40,190,284,tentacool
Attack,40,76,196,tentacool
Defense,35,67,185,tentacool
Sp. Atk,50,94,218,tentacool
Sp. Def,100,184,328,tentacool
Speed,70,130,262,tentacool
HP,80,270,364,victreebel
Attack,105,193,339,victreebel
Defense,65,121,251,victreebel
Sp. Atk,100,184,328,victreebel
Sp. Def,70,130,262,victreebel
Speed,70,130,262,victreebel
HP,50,210,304,ponyta
Attack,85,157,295,ponyta
Defense,55,103,229,ponyta
Sp. Atk,65,121,251,ponyta
Sp. Def,65,121,251,ponyta
Speed,90,166,306,ponyta
HP,50,210,304,ponyta
Attack,85,157,295,ponyta
Defense,55,103,229,ponyta
Sp. Atk,65,121,251,ponyta
Sp. Def,65,121,251,ponyta
Speed,90,166,306,ponyta
HP,65,240,334,seel
Attack,45,85,207,seel
Defense,55,103,229,seel
Sp. Atk,45,85,207,seel
Sp. Def,70,130,262,seel
Speed,45,85,207,seel
HP,49,208,302,finneon
Attack,49,92,216,finneon
Defense,56,105,232,finneon
Sp. Atk,49,92,216,finneon
Sp. Def,61,114,243,finneon
Speed,66,123,254,finneon
HP,76,262,356,shellos
Attack,48,90,214,shellos
Defense,48,90,214,shellos
Sp. Atk,57,107,234,shellos
Sp. Def,62,116,245,shellos
Speed,34,65,183,shellos
HP,30,170,264,krabby
Attack,105,193,339,krabby
Defense,90,166,306,krabby
Sp. Atk,25,49,163,krabby
Sp. Def,25,49,163,krabby
Speed,50,94,218,krabby
HP,55,220,314,kingler
Attack,130,238,394,kingler
Defense,115,211,361,kingler
Sp. Atk,50,94,218,kingler
Sp. Def,50,94,218,kingler
Speed,75,139,273,kingler
HP,30,170,264,shellder
Attack,65,121,251,shellder
Defense,100,184,328,shellder
Sp. Atk,45,85,207,shellder
Sp. Def,25,49,163,shellder
Speed,40,76,196,shellder
HP,30,170,264,horsea
Attack,40,76,196,horsea
Defense,70,130,262,horsea
Sp. Atk,70,130,262,horsea
Sp. Def,25,49,163,horsea
Speed,60,112,240,horsea
HP,69,248,342,lumineon
Attack,69,128,260,lumineon
Defense,76,141,276,lumineon
Sp. Atk,69,128,260,lumineon
Sp. Def,86,159,298,lumineon
Speed,91,168,309,lumineon
HP,70,250,344,inteleon
Attack,85,157,295,inteleon
Defense,65,121,251,inteleon
Sp. Atk,125,229,383,inteleon
Sp. Def,65,121,251,inteleon
Speed,120,220,372,inteleon
HP,50,210,304,sobble
Attack,40,76,196,sobble
Defense,40,76,196,sobble
Sp. Atk,70,130,262,sobble
Sp. Def,40,76,196,sobble
Speed,70,130,262,sobble
HP,55,220,314,pyukumuku
Attack,60,112,240,pyukumuku
Defense,130,238,394,pyukumuku
Sp. Atk,30,58,174,pyukumuku
Sp. Def,130,238,394,pyukumuku
Speed,5,13,119,pyukumuku
HP,65,240,334,drizzile
Attack,60,112,240,drizzile
Defense,55,103,229,drizzile
Sp. Atk,95,175,317,drizzile
Sp. Def,55,103,229,drizzile
Speed,90,166,306,drizzile
HP,61,232,326,barraskewda
Attack,123,225,379,barraskewda
Defense,60,112,240,barraskewda
Sp. Atk,60,112,240,barraskewda
Sp. Def,50,94,218,barraskewda
Speed,136,249,408,barraskewda
HP,50,210,304,chewtle
Attack,64,119,249,chewtle
Defense,50,94,218,chewtle
Sp. Atk,38,72,192,chewtle
Sp. Def,38,72,192,chewtle
Speed,44,83,205,chewtle
HP,71,252,346,clawitzer
Attack,73,135,269,clawitzer
Defense,88,162,302,clawitzer
Sp. Atk,120,220,372,clawitzer
Sp. Def,89,164,304,clawitzer
Speed,59,110,238,clawitzer
HP,41,192,286,arrokuda
Attack,63,117,247,arrokuda
Defense,40,76,196,arrokuda
Sp. Atk,40,76,196,arrokuda
Sp. Def,30,58,174,arrokuda
Speed,66,123,254,arrokuda
HP,54,218,312,frogadier
Attack,63,117,247,frogadier
Defense,52,98,223,frogadier
Sp. Atk,83,153,291,frogadier
Sp. Def,56,105,232,frogadier
Speed,97,179,322,frogadier
HP,50,210,304,popplio
Attack,54,101,227,popplio
Defense,54,101,227,popplio
Sp. Atk,66,123,254,popplio
Sp. Def,56,105,232,popplio
Speed,40,76,196,popplio
HP,41,192,286,froakie
Attack,56,105,232,froakie
Defense,40,76,196,froakie
Sp. Atk,62,116,245,froakie
Sp. Def,44,83,205,froakie
Speed,71,132,265,froakie
HP,60,230,324,brionne
Attack,69,128,260,brionne
Defense,69,128,260,brionne
Sp. Atk,91,168,309,brionne
Sp. Def,81,150,287,brionne
Speed,50,94,218,brionne
HP,45,200,294,wishiwashi
Attack,20,40,152,wishiwashi
Defense,20,40,152,wishiwashi
Sp. Atk,25,49,163,wishiwashi
Sp. Def,25,49,163,wishiwashi
Speed,40,76,196,wishiwashi
HP,45,200,294,wishiwashi
Attack,140,256,416,wishiwashi
Defense,130,238,394,wishiwashi
Sp. Atk,140,256,416,wishiwashi
Sp. Def,135,247,405,wishiwashi
Speed,30,58,174,wishiwashi
HP,70,250,344,basculin
Attack,92,170,311,basculin
Defense,65,121,251,basculin
Sp. Atk,80,148,284,basculin
Sp. Def,55,103,229,basculin
Speed,98,180,324,basculin
HP,70,250,344,basculin
Attack,92,170,311,basculin
Defense,65,121,251,basculin
Sp. Atk,80,148,284,basculin
Sp. Def,55,103,229,basculin
Speed,98,180,324,basculin
HP,50,210,304,tympole
Attack,50,94,218,tympole
Defense,40,76,196,tympole
Sp. Atk,50,94,218,tympole
Sp. Def,40,76,196,tympole
Speed,64,119,249,tympole
HP,95,300,394,samurott
Attack,100,184,328,samurott
Defense,85,157,295,samurott
Sp. Atk,108,198,346,samurott
Sp. Def,70,130,262,samurott
Speed,70,130,262,samurott
HP,50,210,304,clauncher
Attack,53,99,225,clauncher
Defense,62,116,245,clauncher
Sp. Atk,58,108,236,clauncher
Sp. Def,63,117,247,clauncher
Speed,44,83,205,clauncher
HP,75,260,354,dewott
Attack,75,139,273,dewott
Defense,60,112,240,dewott
Sp. Atk,83,153,291,dewott
Sp. Def,60,112,240,dewott
Speed,60,112,240,dewott
HP,50,210,304,panpour
Attack,53,99,225,panpour
Defense,48,90,214,panpour
Sp. Atk,53,99,225,panpour
Sp. Def,48,90,214,panpour
Speed,64,119,249,panpour
HP,165,440,534,alomomola
Attack,75,139,273,alomomola
Defense,80,148,284,alomomola
Sp. Atk,40,76,196,alomomola
Sp. Def,45,85,207,alomomola
Speed,65,121,251,alomomola
HP,55,220,314,oshawott
Attack,55,103,229,oshawott
Defense,45,85,207,oshawott
Sp. Atk,63,117,247,oshawott
Sp. Def,45,85,207,oshawott
Speed,45,85,207,oshawott
HP,80,270,364,phione
Attack,80,148,284,phione
Defense,80,148,284,phione
Sp. Atk,80,148,284,phione
Sp. Def,80,148,284,phione
Speed,80,148,284,phione
HP,100,310,404,manaphy
Attack,100,184,328,manaphy
Defense,100,184,328,manaphy
Sp. Atk,100,184,328,manaphy
Sp. Def,100,184,328,manaphy
Speed,100,184,328,manaphy
HP,75,260,354,simipour
Attack,98,180,324,simipour
Defense,63,117,247,simipour
Sp. Atk,98,180,324,simipour
Sp. Def,63,117,247,simipour
Speed,101,186,331,simipour
HP,42,194,288,wooloo
Attack,40,76,196,wooloo
Defense,55,103,229,wooloo
Sp. Atk,40,76,196,wooloo
Sp. Def,45,85,207,wooloo
Speed,48,90,214,wooloo
HP,72,254,348,dubwool
Attack,80,148,284,dubwool
Defense,100,184,328,dubwool
Sp. Atk,60,112,240,dubwool
Sp. Def,90,166,306,dubwool
Speed,88,162,302,dubwool
HP,95,300,394,type-null
Attack,95,175,317,type-null
Defense,95,175,317,type-null
Sp. Atk,95,175,317,type-null
Sp. Def,95,175,317,type-null
Speed,59,110,238,type-null
HP,75,260,354,furfrou
Attack,80,148,284,furfrou
Defense,60,112,240,furfrou
Sp. Atk,65,121,251,furfrou
Sp. Def,90,166,306,furfrou
Speed,102,188,333,furfrou
HP,70,250,344,skwovet
Attack,55,103,229,skwovet
Defense,55,103,229,skwovet
Sp. Atk,35,67,185,skwovet
Sp. Def,35,67,185,skwovet
Speed,25,49,163,skwovet
HP,95,300,394,silvally
Attack,95,175,317,silvally
Defense,95,175,317,silvally
Sp. Atk,95,175,317,silvally
Sp. Def,95,175,317,silvally
Speed,95,175,317,silvally
HP,65,240,334,komala
Attack,115,211,361,komala
Defense,65,121,251,komala
Sp. Atk,75,139,273,komala
Sp. Def,95,175,317,komala
Speed,65,121,251,komala
HP,88,286,380,gumshoos
Attack,110,202,350,gumshoos
Defense,60,112,240,gumshoos
Sp. Atk,55,103,229,gumshoos
Sp. Def,60,112,240,gumshoos
Speed,45,85,207,gumshoos
HP,120,350,444,greedent
Attack,95,175,317,greedent
Defense,95,175,317,greedent
Sp. Atk,55,103,229,greedent
Sp. Def,75,139,273,greedent
Speed,20,40,152,greedent
HP,80,270,364,regieleki
Attack,100,184,328,regieleki
Defense,50,94,218,regieleki
Sp. Atk,100,184,328,regieleki
Sp. Def,50,94,218,regieleki
Speed,200,364,548,regieleki
HP,48,206,300,yungoos
Attack,70,130,262,yungoos
Defense,30,58,174,yungoos
Sp. Atk,30,58,174,yungoos
Sp. Def,30,58,174,yungoos
Speed,45,85,207,yungoos
HP,88,286,380,zeraora
Attack,112,206,355,zeraora
Defense,75,139,273,zeraora
Sp. Atk,102,188,333,zeraora
Sp. Def,80,148,284,zeraora
Speed,143,261,423,zeraora
HP,48,206,300,pincurchin
Attack,101,186,331,pincurchin
Defense,95,175,317,pincurchin
Sp. Atk,91,168,309,pincurchin
Sp. Def,85,157,295,pincurchin
Speed,15,31,141,pincurchin
HP,59,228,322,yamper
Attack,45,85,207,yamper
Defense,50,94,218,yamper
Sp. Atk,40,76,196,yamper
Sp. Def,50,94,218,yamper
Speed,26,51,166,yamper
HP,83,276,370,xurkitree
Attack,89,164,304,xurkitree
Defense,71,132,265,xurkitree
Sp. Atk,173,315,489,xurkitree
Sp. Def,71,132,265,xurkitree
Speed,83,153,291,xurkitree
HP,62,234,328,heliolisk
Attack,55,103,229,heliolisk
Defense,52,98,223,heliolisk
Sp. Atk,109,200,348,heliolisk
Sp. Def,94,173,315,heliolisk
Speed,109,200,348,heliolisk
HP,44,198,292,helioptile
Attack,38,72,192,helioptile
Defense,33,63,181,helioptile
Sp. Atk,61,114,243,helioptile
