"Title","CPI ANNUAL RATE 00: ALL ITEMS 2015=100"
"CDID","D7G7"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","%"
"Release date","17-11-2021"
"Next release","15 December 2021"
"Important notes",
"1989","5.2"
"1990","7.0"
"1991","7.5"
"1992","4.2"
"1993","2.5"
"1994","2.0"
"1995","2.6"
"1996","2.4"
"1997","1.8"
"1998","1.6"
"1999","1.3"
"2000","0.8"
"2001","1.2"
"2002","1.3"
"2003","1.4"
"2004","1.3"
"2005","2.1"
"2006","2.3"
"2007","2.3"
"2008","3.6"
"2009","2.2"
"2010","3.3"
"2011","4.5"
"2012","2.8"
"2013","2.6"
"2014","1.5"
"2015","0.0"
"2016","0.7"
"2017","2.7"
"2018","2.5"
"2019","1.8"
"2020","0.9"
"1989 Q1","5.0"
"1989 Q2","5.3"
"1989 Q3","5.1"
"1989 Q4","5.5"
"1990 Q1","5.8"
"1990 Q2","6.7"
"1990 Q3","7.5"
"1990 Q4","7.8"
"1991 Q1","7.0"
"1991 Q2","8.3"
"1991 Q3","7.8"
"1991 Q4","7.0"
"1992 Q1","7.0"
"1992 Q2","4.3"
"1992 Q3","3.2"
"1992 Q4","2.7"
"1993 Q1","2.4"
"1993 Q2","2.5"
"1993 Q3","2.9"
"1993 Q4","2.4"
"1994 Q1","2.5"
"1994 Q2","2.0"
"1994 Q3","1.7"
"1994 Q4","1.8"
"1995 Q1","2.5"
"1995 Q2","2.4"
"1995 Q3","2.7"
"1995 Q4","2.9"
"1996 Q1","2.6"
"1996 Q2","2.4"
"1996 Q3","2.2"
"1996 Q4","2.5"
"1997 Q1","1.9"
"1997 Q2","1.6"
"1997 Q3","1.9"
"1997 Q4","1.8"
"1998 Q1","1.6"
"1998 Q2","1.8"
"1998 Q3","1.4"
"1998 Q4","1.4"
"1999 Q1","1.6"
"1999 Q2","1.4"
"1999 Q3","1.2"
"1999 Q4","1.1"
"2000 Q1","0.8"
"2000 Q2","0.6"
"2000 Q3","0.8"
"2000 Q4","1.0"
"2001 Q1","0.9"
"2001 Q2","1.5"
"2001 Q3","1.5"
"2001 Q4","1.0"
"2002 Q1","1.5"
"2002 Q2","0.9"
"2002 Q3","1.0"
"2002 Q4","1.5"
"2003 Q1","1.5"
"2003 Q2","1.3"
"2003 Q3","1.4"
"2003 Q4","1.3"
"2004 Q1","1.3"
"2004 Q2","1.4"
"2004 Q3","1.3"
"2004 Q4","1.4"
"2005 Q1","1.7"
"2005 Q2","2.0"
"2005 Q3","2.4"
"2005 Q4","2.1"
"2006 Q1","1.9"
"2006 Q2","2.3"
"2006 Q3","2.4"
"2006 Q4","2.7"
"2007 Q1","2.9"
"2007 Q2","2.6"
"2007 Q3","1.8"
"2007 Q4","2.1"
"2008 Q1","2.4"
"2008 Q2","3.4"
"2008 Q3","4.8"
"2008 Q4","3.9"
"2009 Q1","3.0"
"2009 Q2","2.1"
"2009 Q3","1.5"
"2009 Q4","2.1"
"2010 Q1","3.3"
"2010 Q2","3.5"
"2010 Q3","3.1"
"2010 Q4","3.4"
"2011 Q1","4.1"
"2011 Q2","4.4"
"2011 Q3","4.7"
"2011 Q4","4.6"
"2012 Q1","3.5"
"2012 Q2","2.8"
"2012 Q3","2.4"
"2012 Q4","2.7"
"2013 Q1","2.8"
"2013 Q2","2.7"
"2013 Q3","2.7"
"2013 Q4","2.1"
"2014 Q1","1.7"
"2014 Q2","1.7"
"2014 Q3","1.5"
"2014 Q4","0.9"
"2015 Q1","0.1"
"2015 Q2","0.0"
"2015 Q3","0.0"
"2015 Q4","0.1"
"2016 Q1","0.3"
"2016 Q2","0.4"
"2016 Q3","0.7"
"2016 Q4","1.2"
"2017 Q1","2.1"
"2017 Q2","2.7"
"2017 Q3","2.8"
"2017 Q4","3.0"
"2018 Q1","2.7"
"2018 Q2","2.4"
"2018 Q3","2.5"
"2018 Q4","2.3"
"2019 Q1","1.9"
"2019 Q2","2.0"
"2019 Q3","1.8"
"2019 Q4","1.4"
"2020 Q1","1.7"
"2020 Q2","0.6"
"2020 Q3","0.6"
"2020 Q4","0.5"
"2021 Q1","0.6"
"2021 Q2","2.1"
"2021 Q3","2.8"
"1989 JAN","4.9"
"1989 FEB","5.0"
"1989 MAR","5.0"
"1989 APR","5.3"
"1989 MAY","5.3"
"1989 JUN","5.2"
"1989 JUL","5.2"
"1989 AUG","5.0"
"1989 SEP","5.2"
"1989 OCT","5.5"
"1989 NOV","5.5"
"1989 DEC","5.5"
"1990 JAN","5.7"
"1990 FEB","5.9"
"1990 MAR","6.0"
"1990 APR","6.4"
"1990 MAY","6.8"
"1990 JUN","6.9"
"1990 JUL","6.8"
"1990 AUG","7.7"
"1990 SEP","8.1"
"1990 OCT","8.1"
"1990 NOV","7.8"
"1990 DEC","7.6"
"1991 JAN","7.1"
"1991 FEB","7.0"
"1991 MAR","6.9"
"1991 APR","8.4"
"1991 MAY","8.2"
"1991 JUN","8.4"
"1991 JUL","8.3"
"1991 AUG","7.9"
"1991 SEP","7.1"
"1991 OCT","6.8"
"1991 NOV","7.1"
"1991 DEC","7.2"
"1992 JAN","7.0"
"1992 FEB","6.9"
"1992 MAR","7.1"
"1992 APR","4.7"
"1992 MAY","4.3"
"1992 JUN","3.8"
"1992 JUL","3.6"
"1992 AUG","3.0"
"1992 SEP","3.0"
"1992 OCT","2.9"
"1992 NOV","2.6"
"1992 DEC","2.6"
"1993 JAN","2.2"
"1993 FEB","2.4"
"1993 MAR","2.5"
"1993 APR","2.5"
"1993 MAY","2.5"
"1993 JUN","2.4"
"1993 JUL","2.6"
"1993 AUG","2.9"
"1993 SEP","3.1"
"1993 OCT","2.6"
"1993 NOV","2.3"
"1993 DEC","2.4"
"1994 JAN","2.7"
"1994 FEB","2.5"
"1994 MAR","2.2"
"1994 APR","2.0"
"1994 MAY","2.0"
"1994 JUN","2.0"
"1994 JUL","1.7"
"1994 AUG","1.9"
"1994 SEP","1.5"
"1994 OCT","1.5"
"1994 NOV","1.8"
