Name,Country,Start_Date,End_Date
Khertek Anchimaa-Toka,Tannu Tuva,6 April 1940,11 October 1944
Sükhbaataryn Yanjmaa,Mongolia,7 September 1953,7 July 1954
Sirimavo Bandaranaike,Ceylon,21 July 1960,27 March 1965
Sirimavo Bandaranaike,Ceylon,29 May 1970,23 July 1977
Indira Gandhi,India,24 January 1966,24 April 1977
Indira Gandhi,India,15 January 1980,31 October 1984
Soong Ching-ling,China,31 October 1968,24 April 1972
Soong Ching-ling,China,16 May 1981,28 May 1981
Golda Meir,Israel,17 March 1969,3 June 1974
Isabel Martínez de Perón,Argentina,1 July 1974,24 March 1976
Elisabeth Domitien,Central African Republic,2 January 1975,7 April 1976
Margaret Thatcher,United Kingdom,4 May 1979,28 November 1990
Maria de Lourdes Pintasilgo,Portugal,1 August 1979,3 January 1980
Lidia Gueiler Tejada,Bolivia,16 November 1979,17 July 1980
Eugenia Charles,Dominica,21 July 1980,14 June 1995
Vigdís Finnbogadóttir,Iceland,1 August 1980,1 August 1996
Gro Harlem Brundtland,Norway,4 February 1981,14 October 1981
Gro Harlem Brundtland,Norway,9 May 1986,16 October 1989
Gro Harlem Brundtland,Norway,3 November 1990,25 October 1996
Agatha Barbara,Malta,15 February 1982,15 February 1987
Milka Planinc,Yugoslavia,16 May 1982,15 May 1986
Carmen Pereira,Guinea-Bissau,14 May 1984,16 May 1984
Corazon Aquino,Philippines,25 February 1986,30 June 1992
Stella Sigcau,Transkei,5 October 1987,30 December 1987
Benazir Bhutto,Pakistan,2 December 1988,6 July 1990
Benazir Bhutto,Pakistan,19 October 1993,5 November 1996
Ertha Pascal-Trouillot,Haiti,13 March 1990,7 February 1991
Kazimira Prunskienė,Lithuania,17 March 1990,10 January 1991
Sabine Bergmann-Pohl,East Germany,5 April 1990,2 October 1990
Violeta Chamorro,Nicaragua,25 April 1990,10 January 1997
Mary Robinson,Ireland,3 December 1990,12 September 1997
Khaleda Zia,Bangladesh,27 February 1991,30 March 1996
Khaleda Zia,Bangladesh,1 October 2001,29 October 2006
Édith Cresson,France,15 May 1991,2 April 1992
Hanna Suchocka,Poland,11 July 1992,25 October 1993
Tansu Çiller,Turkey,13 June 1993,6 March 1996
Kim Campbell,Canada,25 June 1993,4 November 1993
Sylvie Kinigi,Burundi,10 July 1993,27 October 1993
Sylvie Kinigi,Burundi,27 October 1993,5 February 1994
Agathe Uwilingiyimana,Rwanda,18 July 1993,7 April 1994
Chandrika Kumaratunga,Sri Lanka,12 November 1994,19 November 2005
Reneta Indzhova,Bulgaria,17 October 1994,25 January 1995
Claudette Werleigh,Haiti,7 November 1995,27 February 1996
Sheikh Hasina,Bangladesh,12 June 1996,15 July 2001
Sheikh Hasina,Bangladesh,6 January 2009,31-Jan-22
Ruth Perry,Liberia,3 September 1996,2 August 1997
Rosalía Arteaga,Ecuador,9 February 1997,11 February 1997
Mary McAleese,Ireland,11 November 1997,10 November 2011
Jenny Shipley,New Zealand,8 December 1997,10 December 1999
Janet Jagan,Guyana,19 December 1997,11 August 1999
Irena Degutienė,Lithuania,4 May 1999,18 May 1999
Irena Degutienė,Lithuania,27 October 1999,3 November 1999
Vaira Vīķe-Freiberga,Latvia,8 July 1999,8 July 2007
Nyam-Osoryn Tuyaa,Mongolia,22 July 1999,30 July 1999
Mireya Moscoso,Panama,1 September 1999,1 September 2004
Helen Clark,New Zealand,10 December 1999,19 November 2008
Tarja Halonen,Finland,1 March 2000,1 March 2012
Gloria Macapagal Arroyo,Philippines,20 January 2001,30 June 2010
Mame Madior Boye,Senegal,3 March 2001,4 November 2002
Megawati Sukarnoputri,Indonesia,23 July 2001,20 October 2004
Maria das Neves,São Tomé and Príncipe,3 October 2002,18 September 2004
Anneli Jäätteenmäki,Finland,17 April 2003,24 June 2003
Nino Burjanadze,Georgia,23 November 2003,25 January 2004
Nino Burjanadze,Georgia,25 November 2007,20 January 2008
Barbara Prammer,Austria,6 July 2004,8 July 2004
Radmila Šekerinska,Republic of Macedonia,12 May 2004,12 June 2004
Radmila Šekerinska,Republic of Macedonia,3 November 2004,15 December 2004
Yulia Tymoshenko,Ukraine,24 January 2005,6 September 2005
Yulia Tymoshenko,Ukraine,18 December 2007,3 March 2010
Maria do Carmo Silveira,São Tomé and Príncipe,8 June 2005,21 April 2006
Angela Merkel,Germany,22 November 2005,31-Jan-22
Ellen Johnson Sirleaf,Liberia,16 January 2006,22 January 2018
Michelle Bachelet,Chile,11 March 2006,11 March 2010
